Dataset,Method,depth,NB_acc,NN_acc,DT_acc,SVC_acc,LR_acc,Extra_acc,Random_acc,NB_weighted_F1,NN_weighted_F1,DT_weighted_F1,SVC_weighted_F1,LR_weighted_F1,Extra_weighted_F1,Random_weighted_F1,NB_weighted_precision,NN_weighted_precision,DT_weighted_precision,SVC_weighted_precision,LR_weighted_precision,Extra_weighted_precision,Random_weighted_precision,NB_weighted_recall,NN_weighted_recall,DT_weighted_recall,SVC_weighted_recall,LR_weighted_recall,Extra_weighted_recall,Random_weighted_recall,Create_time,NB_Train_time,NN_Train_time,DT_Train_time,SVC_Train_time,LR_Train_time,Extra_Train_time,Random_Train_time,NB_Test_time,NN_Test_time,DT_Test_time,SVC_Test_time,LR_Test_time,Extra_Test_time,Random_Test_time,Memory
cities,RDF2Vec,1,0.6176470588235294,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.5588235294117647,0.5,0.59246677394362,0.5297693545503308,0.5297693545503308,0.59246677394362,0.47165775401069526,0.5551299589603282,0.49581395348837215,0.5950226244343892,0.5234728506787331,0.5234728506787331,0.5950226244343892,0.3814878892733564,0.5523618538324421,0.49242424242424243,0.6176470588235294,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.5588235294117647,0.5,66.0291531085968,0.006253719329833984,0.0025000572204589844,0.031104087829589844,0.934868335723877,0.2659423351287842,0.20223307609558105,0.25602221488952637,0.0058171749114990234,0.0007181167602539062,0.00022149085998535156,0.002592802047729492,0.0003955364227294922,0.014427661895751953,0.014024734497070312,17731568
cities,RDF2Vec,2,0.6176470588235294,0.5882352941176471,0.47058823529411764,0.6470588235294118,0.6470588235294118,0.6764705882352942,0.6470588235294118,0.6227180527383367,0.5522058823529411,0.47058823529411764,0.640374331550802,0.6303185305742851,0.6661551577152601,0.640374331550802,0.6372549019607843,0.5527544351073763,0.47058823529411764,0.6382236689142059,0.6324183006535948,0.6669117647058824,0.6382236689142059,0.6176470588235294,0.5882352941176471,0.47058823529411764,0.6470588235294118,0.6470588235294118,0.6764705882352942,0.6470588235294118,114.89321160316467,0.004919767379760742,0.0021486282348632812,0.031134605407714844,0.938767671585083,0.5970687866210938,0.21477246284484863,0.25986790657043457,0.008392095565795898,0.0007634162902832031,0.00023984909057617188,0.002788543701171875,0.00040984153747558594,0.020226716995239258,0.018229007720947266,55685568
cities,RDF2Vec,3,0.6764705882352942,0.7647058823529411,0.5588235294117647,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7941176470588235,0.6737619699042408,0.7602495543672015,0.5297693545503308,0.7602495543672015,0.7003119429590018,0.7535456870495234,0.7708978328173375,0.6722370766488415,0.7614508253894444,0.5234728506787331,0.7614508253894444,0.6998372471518252,0.766797385620915,0.8455882352941176,0.6764705882352942,0.7647058823529411,0.5588235294117647,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7941176470588235,202.50029873847961,0.004919528961181641,0.0021834373474121094,0.03179669380187988,0.9442284107208252,0.4903268814086914,0.1924123764038086,0.2574491500854492,0.008343935012817383,0.0007030963897705078,0.0002338886260986328,0.0023610591888427734,0.00042939186096191406,0.020199060440063477,0.019819259643554688,59801568
cities,RDF2Vec,4,0.7058823529411765,0.6764705882352942,0.47058823529411764,0.8529411764705882,0.7647058823529411,0.7352941176470589,0.7058823529411765,0.7058823529411765,0.6661551577152601,0.47801857585139323,0.8482523444160274,0.7535456870495234,0.7178616127301984,0.6919321088119041,0.7058823529411765,0.6669117647058824,0.49826989619377166,0.8588235294117648,0.766797385620915,0.7381221719457014,0.6996078431372549,0.7058823529411765,0.6764705882352942,0.47058823529411764,0.8529411764705882,0.7647058823529411,0.7352941176470589,0.7058823529411765,207.13225173950195,0.00505375862121582,0.002176523208618164,0.036603450775146484,0.9388935565948486,0.5499427318572998,0.19522666931152344,0.25910282135009766,0.008278608322143555,0.0007078647613525391,0.0002288818359375,0.0024025440216064453,0.00041794776916503906,0.01450490951538086,0.014091968536376953,57755568
albums,RDF2Vec,1,0.5291666666666667,0.50625,0.5208333333333334,0.5229166666666667,0.5083333333333333,0.5375,0.5291666666666667,0.5163965120633393,0.5062478569785459,0.5208333333333334,0.5109776443109777,0.5081967213114753,0.5374277230817316,0.5291584923349365,0.5326112275797811,0.5062501085088283,0.5208333333333334,0.5253968253968254,0.5083426028921023,0.5375234521575986,0.5291686922702966,0.5291666666666667,0.50625,0.5208333333333334,0.5229166666666667,0.5083333333333333,0.5375,0.5291666666666667,959.5188348293304,0.056841373443603516,0.008981943130493164,0.5708048343658447,4.922598123550415,1.2638623714447021,0.6221451759338379,1.8657374382019043,0.2697622776031494,0.004615306854248047,0.0009140968322753906,0.31710028648376465,0.0013780593872070312,0.036882877349853516,0.03389120101928711,41760704
albums,RDF2Vec,2,0.6958333333333333,0.6833333333333333,0.61875,0.7208333333333333,0.6916666666666667,0.7229166666666667,0.70625,0.6958122091811932,0.6833333333333333,0.6185496723539706,0.7207897067250091,0.6915809947207558,0.722857725818425,0.7062181226261529,0.6958877465962768,0.6833333333333333,0.6189999826023417,0.7209714404836357,0.6918798665183538,0.7231064620944901,0.7063395570994355,0.6958333333333333,0.6833333333333333,0.61875,0.7208333333333333,0.6916666666666667,0.7229166666666667,0.70625,3410.413628101349,0.05553078651428223,0.0069942474365234375,0.6370241641998291,4.41270112991333,3.370037794113159,0.49161314964294434,1.6998651027679443,0.6081550121307373,0.004305362701416016,0.0008864402770996094,0.2146906852722168,0.0013856887817382812,0.03308534622192383,0.030924320220947266,182400704
albums,RDF2Vec,3,0.7145833333333333,0.7520833333333333,0.64375,0.7479166666666667,0.7083333333333334,0.71875,0.7479166666666667,0.714433361270459,0.752082257301464,0.6433025800591887,0.7479155725502281,0.7083282695880139,0.7186022173103062,0.7479068192767947,0.7150350562814246,0.7520877098560739,0.6444748826577794,0.7479209708501884,0.7083478019306898,0.7192104942674717,0.7479554096994323,0.7145833333333333,0.7520833333333333,0.64375,0.7479166666666667,0.7083333333333334,0.71875,0.7479166666666667,6520.933220386505,0.055577993392944336,0.0070400238037109375,0.6209597587585449,4.5520055294036865,2.530430793762207,0.5185604095458984,1.701373815536499,0.6072485446929932,0.004950761795043945,0.0008761882781982422,0.22576236724853516,0.0014164447784423828,0.03446316719055176,0.03107619285583496,211694704
albums,RDF2Vec,4,0.7104166666666667,0.7541666666666667,0.6520833333333333,0.7291666666666666,0.7041666666666667,0.7395833333333334,0.7166666666666667,0.7099622237968345,0.7541623986527544,0.6520697423076423,0.7291619646174413,0.7039816552011674,0.7395822030477563,0.7166223889149347,0.7117437411555059,0.7541843183554413,0.6521071000677189,0.7291825821237586,0.7046783625730993,0.7395874928384174,0.7168021680216803,0.7104166666666667,0.7541666666666667,0.6520833333333333,0.7291666666666666,0.7041666666666667,0.7395833333333334,0.7166666666666667,8958.670845985413,0.056066036224365234,0.00676274299621582,0.5843062400817871,4.613654375076294,2.5705411434173584,0.49448609352111816,1.7471539974212646,0.6213741302490234,0.005734920501708984,0.0009696483612060547,0.22852158546447754,0.0014684200286865234,0.03574657440185547,0.0318448543548584,212058704
movies,RDF2Vec,1,0.5575,0.5275,0.5025,0.61,0.595,0.5625,0.555,0.5538908833254605,0.5267458926615552,0.5024533567513173,0.6089248120300753,0.5938834586466164,0.5623276816024907,0.5548664699557401,0.5599568520049607,0.5279020732689211,0.502563775510204,0.6115627290881974,0.5963875477135417,0.5627253605769231,0.5551772170909364,0.5575,0.5275,0.5025,0.61,0.595,0.5625,0.555,2341.2710406780243,0.07866477966308594,0.011013031005859375,0.8998246192932129,8.758554220199585,2.7170913219451904,0.7568895816802979,2.5792558193206787,0.3090505599975586,0.0042459964752197266,0.0007908344268798828,0.31455397605895996,0.0013020038604736328,0.03573274612426758,0.03158760070800781,55822688
movies,RDF2Vec,2,0.715,0.6875,0.7025,0.795,0.7675,0.7475,0.7625,0.7147860574517065,0.6846573179265087,0.7023158286382482,0.7948461538461538,0.7672163410101921,0.7474447487042906,0.7624480309594813,0.7154676646856741,0.6952128073451604,0.7031961152882205,0.7961269088994207,0.7690997135966233,0.747623235912321,0.7626344960464418,0.715,0.6875,0.7025,0.795,0.7675,0.7475,0.7625,4955.813701868057,0.0785524845123291,0.010468244552612305,1.144745111465454,7.780514478683472,3.7030577659606934,0.637017011642456,2.5380377769470215,0.6325399875640869,0.0046808719635009766,0.0008475780487060547,0.24211764335632324,0.0013036727905273438,0.03438925743103027,0.03085923194885254,300980688
